Date,Close
2020-03-30,121.04
2020-03-31,120.27
2020-04-02,183.23
2020-04-03,157.92
2020-04-05,162.15
2020-04-06,171.71
2020-04-08,173.92
2020-04-09,165.8
2020-04-11,242.55
2020-04-12,318.34
2020-04-14,139.05
2020-04-15,130.59
2020-04-16,132.32
2020-04-17,132.8
2020-04-20,137.08
2020-04-21,137.41
2020-04-22,132.85
2020-04-23,139.09
2020-04-24,140.87
2020-04-27,144.76
2020-04-28,152.59
2020-04-29,163.16
2020-04-30,159.94
2020-05-02,181.89
2020-05-03,159.08
2020-05-05,160.61
2020-05-06,173.29
2020-05-08,177.23
2020-05-10,230.54
2020-05-11,242.46
2020-05-13,164.21
2020-05-14,155.95
2020-05-15,169.02
2020-05-18,168.1
2020-05-19,165.7
2020-05-20,165.51
2020-05-21,164.84
2020-05-22,169.4
2020-05-26,171.61
2020-05-27,171.8
2020-05-28,172.38
2020-05-29,167.72
2020-06-01,213.35
2020-06-02,171.85
2020-06-03,159.41
2020-06-04,125.17
2020-06-05,162.87
2020-06-07,165.7
2020-06-08,174.16
2020-06-10,235.35
2020-06-11,243.22
2020-06-15,168.25
2020-06-16,170.27
2020-06-17,171.23
2020-06-18,174.06
2020-06-19,171.76
2020-06-22,174.11
2020-06-23,178.77
2020-06-24,172.76
2020-06-25,151.29
2020-06-26,158.5
2020-06-29,165.42
2020-06-30,175.07
2020-07-01,215.65
2020-07-02,171.76
2020-07-04,128.96
2020-07-05,163.01
2020-07-07,167.77
2020-07-08,177.47
2020-07-09,167.72
2020-07-10,239.19
2020-07-12,314.31
2020-07-13,164.98
2020-07-14,168.1
2020-07-15,172.76
2020-07-16,174.64
2020-07-17,176.51
2020-07-20,174.64
2020-07-21,174.01
2020-07-22,171.9
2020-07-23,172.86
2020-07-24,172.09
2020-07-27,169.16
2020-07-28,167.34
2020-07-29,164.41
2020-07-30,159.03
2020-07-31,154.56
2020-08-01,215.37
2020-08-04,132.13
2020-08-06,182.8
2020-08-07,160.85
2020-08-09,209.7
2020-08-10,233.43
2020-08-12,315.08
2020-08-13,208.35
2020-08-14,204.9
2020-08-17,203.84
2020-08-18,194.52
2020-08-19,196.06
2020-08-20,187.32
2020-08-21,181.46
2020-08-24,179.3
2020-08-25,174.4
2020-08-26,174.3
2020-08-27,173.44
2020-08-28,172.43
2020-09-01,216.9
2020-09-03,148.46
2020-09-04,138.85
2020-09-06,174.93
2020-09-07,158.79
2020-09-09,210.95
2020-09-10,238.8
2020-09-11,251.39
2020-09-12,322.38
2020-09-14,216.13
2020-09-15,220.94
2020-09-16,232.75
2020-09-17,231.12
2020-09-18,227.37
2020-09-21,231.02
2020-09-22,231.5
2020-09-23,231.41
2020-09-24,230.54
2020-09-25,231.5
2020-09-28,231.41
2020-09-29,230.06
2020-09-30,229.58
2020-10-01,212.1
2020-10-02,169.45
2020-10-03,148.27
2020-10-06,174.3
2020-10-07,160.52
2020-10-08,184.44
2020-10-09,211.81
2020-10-11,258.21
2020-10-12,312.77
2020-10-13,231.79
2020-10-14,231.22
2020-10-15,227.85
2020-10-16,234.19
2020-10-19,230.16
2020-10-20,234.39
2020-10-21,236.5
2020-10-22,239.67
2020-10-23,239.67
2020-10-26,232.66
2020-10-27,229.87
2020-10-28,226.32
2020-10-29,221.99
2020-10-30,218.06
2020-11-02,168.49
2020-11-03,146.92
2020-11-05,161.96
2020-11-06,163.49
2020-11-08,196.63
2020-11-09,224.49
2020-11-11,265.51
2020-11-12,321.7
2020-11-13,263.78
2020-11-16,259.36
2020-11-17,271.18
2020-11-18,274.73
2020-11-19,283.86
2020-11-20,285.01
2020-11-23,285.3
2020-11-24,291.06
2020-11-25,292.02
2020-11-26,294.23
2020-11-27,297.11
2020-11-30,295.58
2020-12-02,170.41
2020-12-03,131.94
2020-12-05,167.34
2020-12-06,166.28
2020-12-08,203.84
2020-12-10,234.77
2020-12-11,260.23
2020-12-14,322.18
2020-12-15,332.46
2020-12-16,335.83
2020-12-17,331.6
2020-12-18,312.1
2020-12-21,310.56
2020-12-22,313.83
2020-12-23,317.77
2020-12-24,321.9
2020-12-29,325.55
2020-12-30,326.99
2020-12-31,324.39
2021-01-02,390.29
2021-01-03,435.63
2021-01-04,466.18
2021-01-06,570.4
2021-01-07,555.42
2021-01-09,466.56
2021-01-10,400.19
2021-01-11,412.67
2021-01-12,487.6
2021-01-13,355.42
2021-01-14,363.39
2021-01-15,371.27
2021-01-18,373.77
2021-01-19,374.73
2021-01-20,386.16
2021-01-21,397.5
2021-01-22,399.99
2021-01-25,402.3
2021-01-26,397.78
2021-01-27,380.4
2021-01-28,390.2
2021-01-29,388.66
2021-02-02,395.38
2021-02-03,445.14
2021-02-06,571.56
2021-02-07,556.38
2021-02-08,488.94
2021-02-09,475.11
2021-02-11,415.65
2021-02-12,483.0
2021-02-15,449.18
2021-02-16,460.13
2021-02-17,456.28
2021-02-18,455.32
2021-02-19,460.7
2021-02-22,452.44
2021-02-23,438.23
2021-02-24,440.82
2021-02-25,438.71
2021-02-26,434.86
2021-03-02,396.92
2021-03-03,450.23
2021-03-06,567.33
2021-03-08,488.56
2021-03-09,475.4
2021-03-11,421.9
2021-03-12,485.7
2021-03-15,483.57
2021-03-16,498.55
2021-03-17,497.4
2021-03-18,505.28
2021-03-19,499.7
2021-03-22,507.2
2021-03-23,489.33
2021-03-24,486.06
2021-03-25,484.53
2021-03-26,497.4
2021-03-29,489.91
2021-03-30,499.9
2021-03-31,484.72
2021-04-01,328.04
2021-04-02,403.36
2021-04-03,444.18
2021-04-05,476.17
2021-04-06,567.71
2021-04-08,483.76
2021-04-10,390.96
2021-04-11,429.39
2021-04-13,485.29
2021-04-14,482.6
2021-04-15,495.09
2021-04-16,492.4
2021-04-19,487.79
2021-04-20,479.15
2021-04-21,476.46
2021-04-22,478.86
2021-04-23,477.51
2021-04-26,477.99
2021-04-27,485.29
2021-04-28,485.1
2021-04-29,475.98
2021-04-30,476.46
2021-05-01,341.97
2021-05-02,407.49
2021-05-03,435.06
2021-05-05,483.95
2021-05-07,555.23
2021-05-08,480.11
2021-05-10,398.17
2021-05-11,420.93
2021-05-13,498.17
2021-05-14,498.55
2021-05-17,498.74
2021-05-18,508.73
2021-05-19,504.31
2021-05-20,518.53
2021-05-21,505.66
2021-05-24,528.33
2021-05-25,563.1
2021-05-26,572.32
2021-05-27,572.13
2021-05-28,555.8
2021-06-01,348.22
2021-06-04,475.5
2021-06-05,488.94
2021-06-07,551.38
2021-06-08,478.57
2021-06-09,475.5
2021-06-10,388.18
2021-06-12,485.0
2021-06-14,564.83
2021-06-15,567.71
2021-06-16,566.37
2021-06-17,568.48
2021-06-18,551.19
2021-06-21,559.45
2021-06-22,559.26
2021-06-23,555.99
2021-06-24,565.79
2021-06-25,558.88
2021-06-28,555.61
2021-06-29,555.99
2021-06-30,554.65
2021-07-01,347.93
2021-07-04,474.92
2021-07-05,494.71
2021-07-06,575.78
2021-07-07,551.38
2021-07-09,475.98
2021-07-10,397.3
2021-07-12,493.4
2021-07-13,548.31
2021-07-14,543.89
2021-07-15,531.98
2021-07-16,525.45
2021-07-19,505.47
2021-07-20,509.69
2021-07-21,495.86
2021-07-22,511.42
2021-07-23,512.19
2021-07-26,506.43
2021-07-27,499.13
2021-07-28,503.74
2021-07-29,487.98
2021-07-30,484.33
2021-08-01,346.1
2021-08-02,400.19
2021-08-03,444.47
2021-08-04,479.63
2021-08-06,582.51
2021-08-07,546.2
2021-08-09,464.45
2021-08-10,394.42
2021-08-11,416.42
2021-08-12,487.2
2021-08-13,486.45
2021-08-16,482.22
2021-08-17,480.11
2021-08-18,476.94
2021-08-19,469.92
2021-08-20,473.67
2021-08-23,476.65
2021-08-24,471.65
2021-08-25,470.89
2021-08-26,474.63
2021-08-27,470.69
2021-08-31,475.88
2021-09-02,408.93
2021-09-03,454.75
2021-09-04,481.26
2021-09-06,570.21
2021-09-07,555.99
2021-09-08,473.58
2021-09-09,456.96
2021-09-11,409.41
2021-09-12,487.2
2021-09-13,468.2
2021-09-14,468.1
2021-09-15,465.41
2021-09-16,470.89
2021-09-17,465.89
2021-09-20,461.57
2021-09-21,463.01
2021-09-22,463.39
2021-09-23,460.9
2021-09-24,457.63
2021-09-27,466.18
2021-09-28,460.32
2021-09-29,419.78
2021-09-30,404.6
2021-10-02,412.77
2021-10-03,471.27
2021-10-05,498.55
2021-10-06,565.6
2021-10-08,482.6
2021-10-09,454.46
2021-10-11,407.39
2021-10-12,484.7
2021-10-13,395.29
2021-10-14,400.19
2021-10-15,405.28
2021-10-18,405.08
2021-10-19,404.41
2021-10-20,400.28
2021-10-21,398.46
2021-10-22,403.45
2021-10-25,400.57
2021-10-26,408.35
2021-10-27,405.08
2021-10-28,401.53
2021-10-29,403.93
2021-11-01,340.15
2021-11-02,433.04
2021-11-03,475.98
2021-11-05,499.32
2021-11-06,566.95
2021-11-08,486.64
2021-11-10,395.38
2021-11-11,416.04
2021-11-15,428.14
